Records jb2_start_of_image:	1 (0.000000 Kb, Avg.: 0.000000 b)
Records jb2_new_symbol_add_to_image_and_library:	187 (6.490000 Kb, Avg.: 35.561497 b)
Records jb2_new_symbol_add_to_library_only:	0 (0.000000 Kb)
Records jb2_new_symbol_add_to_image_only:	0 (0.000000 Kb)
Records jb2_matched_symbol_with_refinement_add_to_image_and_library:	45 (0.930000 Kb, Avg.: 21.200000 b)
Records jb2_matched_symbol_with_refinement_add_to_library_only:	0 (0.000000 Kb)
Records jb2_matched_symbol_with_refinement_add_to_image_only:	0 (0.000000 Kb)
Records jb2_matched_symbol_copy_to_image_without_refinement:	0 (0.000000 Kb)
Records jb2_non_symbol_data:	0 (0.000000 Kb)
Records jb2_require_dictionary_or_reset:	0 (0.000000 Kb)
Records jb2_comment:	0 (0.000000 Kb)
Records jb2_end_of_data:	0 (0.000000 Kb)
Shared dictionary usage count:	0 (0.000000 Kb)
Local dictionary usage count:	0 (0.000000 Kb)
Elements on page:	1 (0.220000 Kb, Avg.: 232.000000 b)
Unique bitmaps used on page:	0 (0.000000 Kb)
Bitmaps added to local dictionary:	232 (7.420000 Kb, Avg.: 32.775862 b)
